index,commission,entrust_action,entrust_no,fill_date,fill_no,fill_price,fill_size,fill_time,symbol,task_id
271,0.0,Buy,257,20170601,201706010256,31.1,700.0,143000,600809.SH,201706010006
272,0.0,Buy,280,20170601,201706010257,20.5,900.0,143000,603779.SH,201706010006
273,0.0,Buy,277,20170601,201706010258,86.59,400.0,143000,002304.SZ,201706010006
274,0.0,Buy,278,20170601,201706010259,8.53,2300.0,143000,600090.SH,201706010006
275,0.0,Buy,273,20170601,201706010260,28.38,500.0,143000,002719.SZ,201706010006
276,0.0,Buy,245,20170601,201706010261,9.62,2700.0,143000,002770.SZ,201706010006
277,0.0,Buy,244,20170601,201706010262,11.64,1081.75752965,143000,600597.SH,201706010006
278,0.0,Buy,247,20170601,201706010263,31.68,500.0,143000,603027.SH,201706010006
279,0.0,Sell,246,20170601,201706010264,21.53,11981.4375747,143000,000895.SZ,201706010006
280,0.0,Buy,241,20170601,201706010265,8.89,600.0,143000,600059.SH,201706010006
281,0.0,Buy,240,20170601,201706010266,8.84,2700.0,143000,002702.SZ,201706010006
282,0.0,Buy,243,20170601,201706010267,3.57,1800.0,143000,600186.SH,201706010006
283,0.0,Buy,242,20170601,201706010268,18.38,1000.0,143000,603198.SH,201706010006
284,0.0,Buy,269,20170601,201706010269,6.8,500.0,143000,002481.SZ,201706010006
285,0.0,Buy,268,20170601,201706010270,17.82,2311.57875847,143000,600197.SH,201706010006
286,0.0,Buy,249,20170601,201706010271,10.02,1100.0,143000,600616.SH,201706010006
287,0.0,Buy,248,20170601,201706010272,17.47,860.626869117,143000,000799.SZ,201706010006
288,0.0,Buy,263,20170601,201706010273,13.64,3300.0,143000,002570.SZ,201706010006
289,0.0,Buy,274,20170601,201706010274,5.56,2600.0,143000,600873.SH,201706010006
290,0.0,Sell,262,20170601,201706010275,10.15,300.0,143000,600238.SH,201706010006
291,0.0,Buy,261,20170601,201706010276,35.1,1034.50398962,143000,603866.SH,201706010006
292,0.0,Sell,260,20170601,201706010277,47.95,500.0,143000,000568.SZ,201706010006
293,0.0,Buy,279,20170601,201706010278,8.18,3529.64619623,143000,002515.SZ,201706010006
294,0.0,Buy,267,20170601,201706010279,8.71,3100.0,143000,600073.SH,201706010006
295,0.0,Buy,266,20170601,201706010280,4.8,3000.0,143000,600300.SH,201706010006
296,0.0,Buy,101010,20170612,101010,0.0,2890.45157671,200000,000848.SZ,101010
297,0.0,Buy,101010,20170606,101010,0.0,665.918210714,200000,600059.SH,101010
298,0.0,Buy,101010,20170615,101010,0.0,39380.6758982,200000,002770.SZ,101010
299,0.0,Buy,101010,20170607,101010,0.0,12036.9445527,200000,603027.SH,101010
300,0.0,Buy,101010,20170609,101010,0.0,314.4423584,200000,603020.SH,101010
301,0.0,Buy,101010,20170615,101010,0.0,322.088117551,200000,002646.SZ,101010
302,0.0,Buy,101010,20170629,101010,0.0,428.56982618,200000,000596.SZ,101010
303,0.0,Buy,101010,20170619,101010,0.0,2013.32139281,200000,000568.SZ,101010
304,0.0,Buy,101010,20170616,101010,0.0,439.485541666,200000,600300.SH,101010
305,0.0,Buy,101010,20170616,101010,0.0,2670.75121499,200000,002304.SZ,101010
306,0.0,Buy,101010,20170616,101010,0.0,59.432,200000,603779.SH,101010
307,0.0,Buy,319,20170703,201707030281,19.57,16700.0,143000,603886.SH,201707030007
308,0.0,Sell,318,20170703,201707030282,11.98,300.0,143000,002582.SZ,201707030007
309,0.0,Sell,338,20170703,201707030283,21.65,1159.432,143000,603779.SH,201707030007
310,0.0,Buy,313,20170703,201707030284,34.49,8700.0,143000,002820.SZ,201707030007
311,0.0,Sell,312,20170703,201707030285,9.72,5200.0,143000,002329.SZ,201707030007
312,0.0,Sell,311,20170703,201707030286,18.09,1100.0,143000,600872.SH,201707030007
